file,end,n_particles,n_batches,n_inactive,init_s,sim_s,transport_s
openmc_runs/case_0000/bol/statepoint.120.h5,2026-08-12 23:56:21,16000,120,30,6.1,10.9,10.5
openmc_runs/case_0000/core_bol/statepoint.170.h5,2026-08-12 23:58:00,100000,170,60,7.6,88.8,86.4
openmc_runs/case_0000/dep_00/openmc_simulation_n0.h5,2026-08-13 00:03:06,16000,120,30,6.3,260.0,259.5
openmc_runs/case_0000/dep_00/openmc_simulation_n1.h5,2026-08-13 00:08:14,16000,120,30,0.0,301.6,301.1
openmc_runs/case_0000/dep_00/openmc_simulation_n2.h5,2026-08-13 00:13:33,16000,120,30,0.0,312.9,312.4
openmc_runs/case_0000/dep_00/openmc_simulation_n3.h5,2026-08-13 00:18:39,16000,120,30,0.0,299.2,298.7
openmc_runs/case_0000/dep_00/openmc_simulation_n4.h5,2026-08-13 00:23:44,16000,120,30,0.0,299.0,298.6
openmc_runs/case_0000/dep_00/openmc_simulation_n5.h5,2026-08-13 00:28:45,16000,120,30,0.0,295.0,294.5
openmc_runs/case_0000/dep_00/statepoint.120.h5,2026-08-13 00:28:45,16000,120,30,0.0,294.9,294.5
openmc_runs/case_0000/dep_01/openmc_simulation_n6.h5,2026-08-13 00:34:51,16000,120,30,6.3,313.3,312.8
openmc_runs/case_0000/dep_01/openmc_simulation_n7.h5,2026-08-13 00:39:59,16000,120,30,0.0,301.1,300.6
openmc_runs/case_0000/dep_01/statepoint.120.h5,2026-08-13 00:39:59,16000,120,30,0.0,301.1,300.6
openmc_runs/case_0000/dep_02/openmc_simulation_n8.h5,2026-08-13 00:46:02,16000,120,30,6.5,310.3,309.8
openmc_runs/case_0000/dep_02/openmc_simulation_n9.h5,2026-08-13 00:50:56,16000,120,30,0.0,286.3,285.9
openmc_runs/case_0000/dep_02/statepoint.120.h5,2026-08-13 00:50:56,16000,120,30,0.0,286.3,285.9
openmc_runs/case_0000/dep_03/openmc_simulation_n10.h5,2026-08-13 00:56:30,16000,120,30,6.3,280.5,280.1
openmc_runs/case_0000/dep_03/openmc_simulation_n11.h5,2026-08-13 01:01:39,16000,120,30,0.0,302.3,301.8
openmc_runs/case_0000/dep_03/statepoint.120.h5,2026-08-13 01:01:39,16000,120,30,0.0,302.3,301.8
openmc_runs/case_0000/dep_04/openmc_simulation_n12.h5,2026-08-13 01:07:41,16000,120,30,6.4,306.6,306.1
openmc_runs/case_0000/dep_04/openmc_simulation_n13.h5,2026-08-13 01:12:48,16000,120,30,0.0,300.4,299.9
openmc_runs/case_0000/dep_04/statepoint.120.h5,2026-08-13 01:12:48,16000,120,30,0.0,300.4,299.9
openmc_runs/case_0000/dep_05/openmc_simulation_n14.h5,2026-08-13 01:18:50,16000,120,30,6.4,306.0,305.5
openmc_runs/case_0000/dep_05/statepoint.120.h5,2026-08-13 01:23:41,16000,120,30,0.0,284.2,283.8
openmc_runs/case_0000/dep_05/openmc_simulation_n15.h5,2026-08-13 01:23:42,16000,120,30,0.0,284.2,283.8
openmc_runs/case_0000/dep_06/openmc_simulation_n16.h5,2026-08-13 01:29:42,16000,120,30,6.5,304.3,303.8
openmc_runs/case_0000/dep_06/openmc_simulation_n17.h5,2026-08-13 01:34:51,16000,120,30,0.0,301.3,300.8
openmc_runs/case_0000/dep_06/statepoint.120.h5,2026-08-13 01:34:51,16000,120,30,0.0,301.3,300.8
openmc_runs/case_0000/dep_07/openmc_simulation_n18.h5,2026-08-13 01:40:46,16000,120,30,6.3,298.3,297.9
openmc_runs/case_0000/dep_07/openmc_simulation_n19.h5,2026-08-13 01:45:41,16000,120,30,0.0,287.5,287.0
openmc_runs/case_0000/dep_07/statepoint.120.h5,2026-08-13 01:45:41,16000,120,30,0.0,287.4,287.0
openmc_runs/case_0000/dep_08/openmc_simulation_n20.h5,2026-08-13 01:51:39,16000,120,30,6.3,300.6,300.1
openmc_runs/case_0000/dep_08/openmc_simulation_n21.h5,2026-08-13 01:56:46,16000,120,30,0.0,299.3,298.7
openmc_runs/case_0000/dep_08/statepoint.120.h5,2026-08-13 01:56:46,16000,120,30,0.0,299.3,298.7
openmc_runs/case_0001/bol/statepoint.120.h5,2026-08-13 01:57:11,16000,120,30,6.1,10.2,9.8
openmc_runs/case_0001/core_bol/statepoint.170.h5,2026-08-13 01:58:46,100000,170,60,7.6,83.8,81.3
openmc_runs/case_0001/dep_00/openmc_simulation_n0.h5,2026-08-13 02:03:04,16000,120,30,6.3,212.0,211.3
openmc_runs/case_0001/dep_00/openmc_simulation_n1.h5,2026-08-13 02:07:39,16000,120,30,0.0,267.5,267.0
openmc_runs/case_0001/dep_00/openmc_simulation_n2.h5,2026-08-13 02:12:14,16000,120,30,0.0,267.5,266.9
openmc_runs/case_0001/dep_00/openmc_simulation_n3.h5,2026-08-13 02:16:44,16000,120,30,0.0,262.2,261.5
openmc_runs/case_0001/dep_00/openmc_simulation_n4.h5,2026-08-13 02:21:08,16000,120,30,0.0,257.1,256.6
openmc_runs/case_0001/dep_00/openmc_simulation_n5.h5,2026-08-13 02:25:35,16000,120,30,0.0,260.1,259.7
openmc_runs/case_0001/dep_00/statepoint.120.h5,2026-08-13 02:25:35,16000,120,30,0.0,260.1,259.7
openmc_runs/case_0001/dep_01/openmc_simulation_n6.h5,2026-08-13 02:30:44,16000,120,30,6.3,254.6,254.1
openmc_runs/case_0001/dep_01/openmc_simulation_n7.h5,2026-08-13 02:35:10,16000,120,30,0.0,258.9,258.4
openmc_runs/case_0001/dep_01/statepoint.120.h5,2026-08-13 02:35:10,16000,120,30,0.0,258.9,258.4
openmc_runs/case_0001/dep_02/openmc_simulation_n8.h5,2026-08-13 02:40:33,16000,120,30,6.5,265.1,264.6
openmc_runs/case_0001/dep_02/openmc_simulation_n9.h5,2026-08-13 02:45:08,16000,120,30,0.0,267.6,267.1
openmc_runs/case_0001/dep_02/statepoint.120.h5,2026-08-13 02:45:08,16000,120,30,0.0,267.6,267.1
openmc_runs/case_0001/dep_03/openmc_simulation_n10.h5,2026-08-13 02:50:23,16000,120,30,6.3,257.3,256.9
openmc_runs/case_0001/dep_03/openmc_simulation_n11.h5,2026-08-13 02:54:48,16000,120,30,0.0,257.1,256.7
openmc_runs/case_0001/dep_03/statepoint.120.h5,2026-08-13 02:54:48,16000,120,30,0.0,257.1,256.7
openmc_runs/case_0001/dep_04/openmc_simulation_n12.h5,2026-08-13 03:00:08,16000,120,30,6.4,262.4,261.9
openmc_runs/case_0001/dep_04/statepoint.120.h5,2026-08-13 03:04:36,16000,120,30,0.0,260.8,260.0
openmc_runs/case_0001/dep_04/openmc_simulation_n13.h5,2026-08-13 03:04:37,16000,120,30,0.0,260.8,260.0
openmc_runs/case_0001/dep_05/openmc_simulation_n14.h5,2026-08-13 03:09:55,16000,120,30,6.3,261.2,260.7
openmc_runs/case_0001/dep_05/openmc_simulation_n15.h5,2026-08-13 03:14:28,16000,120,30,0.0,265.0,264.4
openmc_runs/case_0001/dep_05/statepoint.120.h5,2026-08-13 03:14:28,16000,120,30,0.0,265.0,264.4
openmc_runs/case_0001/dep_06/openmc_simulation_n16.h5,2026-08-13 03:19:44,16000,120,30,6.4,258.7,258.2
openmc_runs/case_0001/dep_06/openmc_simulation_n17.h5,2026-08-13 03:24:20,16000,120,30,0.0,267.7,267.2
openmc_runs/case_0001/dep_06/statepoint.120.h5,2026-08-13 03:24:20,16000,120,30,0.0,267.7,267.2
openmc_runs/case_0001/dep_07/openmc_simulation_n18.h5,2026-08-13 03:29:37,16000,120,30,6.3,259.2,258.7
openmc_runs/case_0001/dep_07/openmc_simulation_n19.h5,2026-08-13 03:34:07,16000,120,30,0.0,262.1,261.7
openmc_runs/case_0001/dep_07/statepoint.120.h5,2026-08-13 03:34:07,16000,120,30,0.0,262.1,261.7
openmc_runs/case_0001/dep_08/openmc_simulation_n20.h5,2026-08-13 03:39:26,16000,120,30,6.3,260.6,260.1
openmc_runs/case_0001/dep_08/openmc_simulation_n21.h5,2026-08-13 03:43:59,16000,120,30,0.0,264.7,264.2
openmc_runs/case_0001/dep_08/statepoint.120.h5,2026-08-13 03:43:59,16000,120,30,0.0,264.7,264.2
openmc_runs/case_0002/bol/statepoint.120.h5,2026-08-13 03:44:24,16000,120,30,6.1,9.9,9.6
openmc_runs/case_0002/core_bol/statepoint.170.h5,2026-08-13 03:45:55,100000,170,60,7.8,80.0,77.7
openmc_runs/case_0002/dep_00/openmc_simulation_n0.h5,2026-08-13 03:49:57,16000,120,30,6.5,194.7,194.0
openmc_runs/case_0002/dep_00/openmc_simulation_n1.h5,2026-08-13 03:54:06,16000,120,30,0.0,240.2,239.7
openmc_runs/case_0002/dep_00/openmc_simulation_n2.h5,2026-08-13 03:58:15,16000,120,30,0.0,240.8,240.4
