days,burnup_MWd_kg,EFPD,k_inf,k_inf_sd,k_core_est
0,0,0,1.35638,0.000749768,1.27572
50.0834,0.500002,50.0834,1.34382,0.000718283,1.2639
150.25,1.50001,150.25,1.33486,0.000697433,1.25547
350.584,3.50002,350.584,1.32063,0.000609425,1.24209
751.251,7.50003,751.251,1.29787,0.000634936,1.22068
1352.25,13.5001,1352.25,1.26634,0.000803948,1.19103
1752.92,17.5001,1752.92,1.27477,0.000764568,1.19895
2153.58,21.5001,2153.58,1.24809,0.00075904,1.17387
2554.25,25.5001,2554.25,1.25518,0.000734405,1.18053
2954.92,29.5001,2954.92,1.23013,0.000705055,1.15697
3355.59,33.5002,3355.59,1.2368,0.000701445,1.16324
3756.25,37.5002,3756.25,1.21575,0.000640889,1.14345
4156.92,41.5002,4156.92,1.21928,0.000763794,1.14677
4557.59,45.5002,4557.59,1.19828,0.000788781,1.12701
4958.25,49.5002,4958.25,1.20394,0.000773741,1.13234
5358.92,53.5002,5358.92,1.1832,0.000630726,1.11283
5759.59,57.5003,5759.59,1.18918,0.000694246,1.11845
6160.25,61.5003,6160.25,1.16761,0.000704518,1.09817
6560.92,65.5003,6560.92,1.17172,0.00062201,1.10203
6961.59,69.5003,6961.59,1.15156,0.000812532,1.08308
7362.26,73.5003,7362.26,1.1568,0.00074982,1.088
7512.51,75.0003,7512.51,1.14554,0.000836978,1.07741
