k_bol,peaking_core,peaking_asm,EFPD,gd_wt,pitch,refl_thick,e_in,e_out
1.2937,3.5159,1.9262,7513,7.358,1.255,6.689,17.576,4.437
1.3808,2.0725,1.1709,7513,7.168,1.300,9.887,9.555,10.829
1.4291,2.5707,1.4233,7513,5.311,1.324,6.135,5.792,19.547
1.3317,2.4878,1.3890,7513,6.126,1.213,2.737,12.568,7.316
1.3914,2.2593,1.2951,7513,2.237,1.172,15.750,7.881,14.788
1.4775,2.0646,1.1754,7513,6.545,1.312,8.777,16.319,18.715
1.3955,1.9215,1.1461,7513,1.807,1.181,15.395,12.281,11.503
1.3212,2.7302,1.5890,7513,5.394,1.150,4.803,2.919,15.501
1.3512,2.1986,1.2043,7513,2.027,1.268,3.057,6.956,8.909
1.2512,3.4223,1.8364,4524,0.751,1.209,7.939,11.345,3.312
1.3444,2.7368,1.5583,7513,3.645,1.250,12.546,14.409,6.385
1.4506,2.2674,1.2542,7513,3.871,1.341,3.744,9.909,16.363
1.4360,2.1969,1.2535,7513,3.131,1.202,10.431,10.728,18.215
1.4345,2.1480,1.2094,7513,4.173,1.264,5.291,15.876,13.047
1.3350,2.9319,1.6445,7439,0.493,1.231,13.244,13.119,4.840
1.4041,2.7138,1.5144,7513,7.609,1.336,5.653,4.130,19.079
1.4148,2.3873,1.3473,7513,2.526,1.188,14.315,18.896,11.101
1.3886,2.2433,1.2785,7513,1.193,1.224,12.988,6.850,12.431
1.3095,2.4006,1.3397,7472,1.766,1.190,2.075,4.480,9.447
1.3504,2.3023,1.3493,7513,6.332,1.165,11.569,6.246,14.141
1.3890,2.4807,1.3940,7513,7.940,1.204,7.291,18.245,10.226
1.3861,2.3247,1.3555,7513,1.722,1.185,12.145,6.116,15.118
1.4189,2.0602,1.1715,7513,3.339,1.195,8.102,15.036,13.427
1.3588,2.4050,1.3107,7513,5.798,1.341,7.590,11.513,7.617
1.2801,4.0469,2.2107,7436,2.069,1.273,6.769,18.419,3.191
1.3879,2.5974,1.4589,7513,6.690,1.217,9.061,5.014,18.412
1.4424,2.2006,1.2213,7513,7.002,1.278,2.796,12.276,16.839
1.2021,4.1290,2.2310,4486,1.197,1.384,3.579,13.331,2.369
1.5156,2.1140,1.1925,7513,0.218,1.322,6.366,19.707,15.369
1.3705,2.2668,1.2721,7513,7.118,1.263,8.335,12.667,9.127
1.2524,2.2349,1.2772,5939,6.309,1.158,15.100,4.810,7.953
1.4083,2.1324,1.1930,7513,1.430,1.283,4.766,8.944,11.346
1.4458,2.0782,1.1744,7513,5.307,1.160,4.020,16.993,19.402
1.1454,3.2331,1.7871,2696,3.758,1.167,2.312,7.915,2.864
1.2027,2.5955,1.4564,3695,3.071,1.229,5.522,6.933,3.848
1.3853,2.3073,1.3158,7513,4.139,1.227,11.360,14.502,9.412
