idx,phase,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,F_core,F_asm,k_bol,keff_core,EFPD,g_kmin,g_kmax,g_enr,g_peak,g_geom
0,DOE,17.5757,4.4371,7.3584,1.2554,6.6891,3.5159,1.9262,1.2937,1.23192,7513,-0.2737,-0.0563,-2.1743,1.5159,-6.3610
1,DOE,9.5552,10.8291,7.1680,1.3001,9.8866,2.0725,1.1709,1.3808,1.32113,7513,-0.3608,0.0308,-8.9209,0.0725,-0.4259
2,DOE,5.7920,19.5466,5.3106,1.3239,6.1345,2.5707,1.4233,1.4291,1.37209,7513,-0.4091,0.0791,-0.2034,0.5707,-2.7207
3,DOE,12.5684,7.3156,6.1262,1.2130,2.7375,2.4878,1.3890,1.3317,1.26250,7513,-0.3117,-0.0183,-7.1816,0.4878,-12.9144
4,DOE,7.8807,14.7882,2.2366,1.1723,15.7495,2.2593,1.2951,1.3914,1.31936,7513,-0.3714,0.0414,-4.9618,0.2593,-2.3930
5,DOE,16.3193,18.7152,6.5452,1.3116,8.7766,2.0646,1.1754,1.4775,1.41743,7513,-0.4575,0.1275,-1.0348,0.0646,-0.8294
6,DOE,12.2807,11.5034,1.8065,1.1807,15.3949,1.9215,1.1461,1.3955,1.32295,7513,-0.3755,0.0455,-7.4693,-0.0785,-2.2345
7,DOE,2.9188,15.5014,5.3936,1.1504,4.8033,2.7302,1.5890,1.3212,1.24813,7513,-0.3012,-0.0288,-4.2486,0.7302,-14.6845
8,DOE,6.9560,8.9086,2.0268,1.2684,3.0569,2.1986,1.2043,1.3512,1.28734,7513,-0.3312,0.0012,-10.8414,0.1986,-9.1990
9,DOE,11.3452,3.3122,0.7509,1.2088,7.9388,3.4223,1.8364,1.2512,1.18607,4524,-0.2312,-0.0988,-8.4048,1.4223,-7.9668
10,DOE,14.4095,6.3850,3.6453,1.2501,12.5463,2.7368,1.5583,1.3444,1.28079,7513,-0.3244,-0.0056,-5.3405,0.7368,-0.8271
11,DOE,9.9087,16.3628,3.8706,1.3409,3.7440,2.2674,1.2542,1.4506,1.39102,7513,-0.4306,0.1006,-3.3872,0.2674,-4.0635
12,DOE,10.7275,18.2150,3.1310,1.2022,10.4314,2.1969,1.2535,1.4360,1.36703,7513,-0.4160,0.0860,-1.5350,0.1969,-5.8833
13,DOE,15.8762,13.0466,4.1731,1.2643,5.2914,2.1480,1.2094,1.4345,1.37185,7513,-0.4145,0.0845,-3.8738,0.1480,-7.2161
14,DOE,13.1190,4.8398,0.4926,1.2305,13.2440,2.9319,1.6445,1.3350,1.26738,7439,-0.3150,-0.0150,-6.6310,0.9319,-1.3313
15,DOE,4.1303,19.0787,7.6092,1.3362,5.6530,2.7138,1.5144,1.4041,1.34615,7513,-0.3841,0.0541,-0.6713,0.7138,-2.4475
16,DOE,18.8959,11.1015,2.5264,1.1877,14.3153,2.3873,1.3473,1.4148,1.34386,7513,-0.3948,0.0648,-0.8541,0.3873,-2.8835
