idx,phase,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,gd_pins,gd_pins_used,F_core,F_asm,k_bol,keff_core,EFPD,g_kmin,g_kmax,g_enr,g_peak,g_geom
0,DOE,8.0756,11.0907,7.3463,1.1689,12.9521,28.8758,32,2.2279,1.2407,1.2113,1.14775,7513,-0.1913,-0.1387,-8.6593,0.2279,-5.3802
1,DOE,7.0179,3.0849,6.1751,1.2196,15.0353,24.4652,24,2.8550,1.5822,1.0437,0.98710,0,-0.0237,-0.3063,-12.7321,0.8550,-0.1906
2,DOE,14.3833,3.9915,1.2994,1.1614,11.7205,32.0488,32,3.0293,1.7275,1.1767,1.11019,5214,-0.1567,-0.1733,-5.3667,1.0293,-7.0713
3,DOE,13.7113,2.2906,4.1346,1.1799,9.9936,20.7382,20,3.9375,2.2178,1.0919,1.03028,2870,-0.0719,-0.2581,-6.0387,1.9375,-7.6633
4,DOE,19.0936,10.6308,7.4786,1.2886,5.5109,14.3615,16,2.4348,1.3596,1.3876,1.32708,7513,-0.3676,0.0376,-0.6564,0.4348,-5.4833
5,DOE,11.3908,19.3011,7.6578,1.2449,4.8294,13.5246,12,2.2325,1.2645,1.4425,1.37620,7513,-0.4225,0.0925,-0.4489,0.2325,-8.8483
6,DOE,18.6962,8.4613,3.4098,1.3083,2.8257,29.3720,32,2.6334,1.4140,1.3073,1.24901,7513,-0.2873,-0.0427,-1.0538,0.6334,-6.9601
7,DOE,8.7753,9.1276,1.7152,1.2158,13.3878,32.8835,32,2.0489,1.1616,1.2685,1.20545,7513,-0.2485,-0.0815,-10.6224,0.0489,-2.0708
8,DOE,3.5670,19.3320,5.6224,1.1746,17.2746,21.8934,20,2.6503,1.5423,1.3257,1.25900,7513,-0.3057,-0.0243,-0.4180,0.6503,-0.7062
9,DOE,7.3451,13.5670,3.7616,1.2708,5.2200,18.9750,20,2.3209,1.2885,1.3524,1.29126,7513,-0.3324,0.0024,-6.1830,0.3209,-6.8662
10,DOE,9.5273,14.8959,4.4525,1.2420,8.3664,27.3655,24,2.2200,1.2561,1.3526,1.29066,7513,-0.3326,0.0026,-4.8541,0.2200,-5.4850
11,DOE,15.9680,13.8855,3.1962,1.2791,8.1074,34.1168,32,2.0759,1.1981,1.3637,1.30486,7513,-0.3437,0.0137,-3.7820,0.0759,-3.4710
12,DOE,14.7363,5.0677,3.5745,1.1836,3.1952,16.0101,16,2.9780,1.6619,1.2603,1.19135,6762,-0.2403,-0.0897,-5.0137,0.9780,-14.2378
13,DOE,4.5445,9.4152,4.2801,1.3223,4.4382,23.9190,24,2.4552,1.3283,1.2483,1.19236,7513,-0.2283,-0.1017,-10.3348,0.4552,-4.4907
14,DOE,12.1933,2.7330,5.8601,1.2031,10.9130,38.9988,40,3.4324,1.8872,0.9633,0.91175,0,0.0567,-0.3867,-7.5567,1.4324,-5.3215
15,DOE,3.0365,8.1347,7.9308,1.2525,11.5673,14.8180,16,2.3754,1.3617,1.2117,1.15405,6145,-0.1917,-0.1383,-11.6153,0.3754,-1.6414
16,DOE,18.1667,18.4044,2.3155,1.1939,3.2813,12.2652,12,1.9796,1.1418,1.4645,1.39225,7513,-0.4445,0.1145,-1.3456,-0.0204,-13.5188
17,DOE,16.8272,14.5188,1.4855,1.1542,17.9908,30.2308,32,1.9534,1.1741,1.3764,1.30601,7513,-0.3564,0.0264,-2.9228,-0.0466,-1.2437
