idx,n_blocks,n_ghosts,ghost_jump_pcm,bu_label_final,bu_true_final,efpd_label,efpd_true,overstatement,slope_true_pcm,k_target,censored,eoc_true_bu,eoc_true_efpd
0,9,8,626.5,74.995,42.997,7512.5,4307.2,1.744,429.0,1.06138,True,,
1,2,1,1049.3,21.499,17.499,2153.6,1752.9,1.229,161.9,1.05646,True,,
2,6,5,1069.4,53.496,33.498,5358.9,3355.6,1.597,607.1,1.06206,False,31.385,3143.9
3,3,2,912.8,29.498,21.499,2954.9,2153.6,1.372,416.4,1.06016,False,20.345,2038.1
4,9,8,777.6,74.995,42.997,7512.5,4307.2,1.744,359.5,1.05226,True,,
5,9,8,532.8,74.995,42.997,7512.5,4307.2,1.744,333.7,1.0562,True,,
6,9,8,862.6,74.995,42.997,7512.5,4307.2,1.744,519.0,1.05075,True,,
7,9,8,951.3,74.995,42.997,7512.5,4307.2,1.744,578.8,1.05694,True,,
8,9,8,452.9,74.995,42.997,7512.5,4307.2,1.744,407.1,1.06037,True,,
9,9,8,815.7,74.995,42.997,7512.5,4307.2,1.744,531.4,1.05396,True,,
10,9,8,685.5,74.995,42.997,7512.5,4307.2,1.744,447.3,1.05421,True,,
11,9,8,655.6,74.995,42.997,7512.5,4307.2,1.744,434.1,1.05078,True,,
12,8,7,1031.1,69.495,41.497,6961.6,4156.9,1.675,571.8,1.06165,False,38.703,3877.0
13,9,8,1169.4,74.995,42.997,7512.5,4307.2,1.744,650.0,1.05018,True,,
14,3,2,949.4,29.498,21.499,2954.9,2153.6,1.372,275.4,1.05813,True,,
15,7,6,1076.3,61.496,37.498,6160.3,3756.3,1.64,660.0,1.05352,False,37.287,3735.2
16,9,8,401.2,74.995,42.997,7512.5,4307.2,1.744,369.6,1.0607,True,,
17,9,8,458.3,74.995,42.997,7512.5,4307.2,1.744,430.6,1.06243,True,,
18,8,7,1219.4,69.495,41.497,6961.6,4156.9,1.675,732.0,1.0485,False,38.915,3898.2
19,9,8,537.8,74.995,42.997,7512.5,4307.2,1.744,441.6,1.05435,True,,
20,9,8,911.1,74.995,42.997,7512.5,4307.2,1.744,530.2,1.05809,True,,
21,9,8,517.2,74.995,42.997,7512.5,4307.2,1.744,478.3,1.06199,True,,
22,2,1,1540.1,21.499,17.499,2153.6,1752.9,1.229,115.9,1.05567,True,,
23,9,8,606.1,74.995,42.997,7512.5,4307.2,1.744,371.3,1.05979,True,,
24,9,8,1266.3,74.995,42.997,7512.5,4307.2,1.744,736.6,1.04913,False,42.336,4241.0
25,9,8,929.3,74.995,42.997,7512.5,4307.2,1.744,573.6,1.05367,True,,
26,9,8,785.2,74.995,42.997,7512.5,4307.2,1.744,578.2,1.05697,True,,
27,9,8,496.2,74.995,42.997,7512.5,4307.2,1.744,468.9,1.06028,True,,
28,9,8,880.9,74.995,42.997,7512.5,4307.2,1.744,544.1,1.05117,True,,
29,9,8,460.4,74.995,42.997,7512.5,4307.2,1.744,138.7,1.05565,True,,
30,9,8,706.4,74.995,42.997,7512.5,4307.2,1.744,446.7,1.05125,True,,
31,9,8,653.3,74.995,42.997,7512.5,4307.2,1.744,445.3,1.05724,True,,
32,9,8,708.8,74.995,42.997,7512.5,4307.2,1.744,442.5,1.05434,True,,
33,6,5,1146.5,53.496,33.498,5358.9,3355.6,1.597,514.8,1.05035,False,30.784,3083.7
34,5,4,1355.0,45.497,29.498,4557.6,2954.9,1.542,750.3,1.05527,False,26.854,2690.0
35,3,2,1284.7,29.498,21.499,2954.9,2153.6,1.372,164.1,1.06041,False,20.343,2037.9
36,6,5,1357.8,53.496,33.498,5358.9,3355.6,1.597,753.9,1.0483,False,33.041,3309.9
37,4,3,1227.2,37.498,25.498,3756.3,2554.3,1.471,708.5,1.06277,False,23.68,2372.1
38,9,8,682.6,74.995,42.997,7512.5,4307.2,1.744,548.1,1.06106,True,,
39,9,8,457.3,74.995,42.997,7512.5,4307.2,1.744,197.1,1.06108,True,,
40,8,7,1244.0,69.495,41.497,6961.6,4156.9,1.675,669.3,1.05007,False,40.534,4060.4
41,9,8,782.1,74.995,42.997,7512.5,4307.2,1.744,526.4,1.05814,True,,
42,9,8,401.3,74.995,42.997,7512.5,4307.2,1.744,378.7,1.06524,True,,
43,9,8,364.0,74.995,42.997,7512.5,4307.2,1.744,404.6,1.06524,True,,
44,9,8,454.9,74.995,42.997,7512.5,4307.2,1.744,380.5,1.06525,True,,
45,9,8,400.1,74.995,42.997,7512.5,4307.2,1.744,398.7,1.065,True,,
46,9,8,394.1,74.995,42.997,7512.5,4307.2,1.744,429.9,1.06342,True,,
47,9,8,454.9,74.995,42.997,7512.5,4307.2,1.744,391.4,1.06367,True,,
48,7,6,886.6,61.496,37.498,6160.3,3756.3,1.64,615.8,1.06532,False,36.496,3655.9
49,7,6,949.9,61.496,37.498,6160.3,3756.3,1.64,573.7,1.06532,False,36.514,3657.7
50,7,6,1005.8,61.496,37.498,6160.3,3756.3,1.64,619.2,1.06531,False,36.555,3661.9
51,7,6,960.6,61.496,37.498,6160.3,3756.3,1.64,594.1,1.06532,False,37.044,3710.8
52,7,6,929.9,61.496,37.498,6160.3,3756.3,1.64,607.6,1.06532,False,37.095,3716.0
53,7,6,914.3,61.496,37.498,6160.3,3756.3,1.64,616.4,1.06532,False,37.124,3718.8
54,9,8,458.6,74.995,42.997,7512.5,4307.2,1.744,467.6,1.0632,True,,
55,9,8,550.7,74.995,42.997,7512.5,4307.2,1.744,438.3,1.0632,True,,
56,9,8,475.6,74.995,42.997,7512.5,4307.2,1.744,449.4,1.06307,True,,
57,9,8,460.8,74.995,42.997,7512.5,4307.2,1.744,462.0,1.06321,True,,
58,9,8,374.9,74.995,42.997,7512.5,4307.2,1.744,461.3,1.06323,True,,
59,9,8,408.8,74.995,42.997,7512.5,4307.2,1.744,443.1,1.06319,True,,
