cand,stored,f_corrected,uncertainty,source,fidelity,n_seeds,bu_eoc,efpd,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick
3,1.1855950182008952,1.1116411958835024,0.0006321085487747509,measured,256000,8,69.14153696858536,6925.682170360495,7.951789871935604,8.107284905873582,0.20380814725612817,1.150700402980734,12.842024631048028
6,1.1933460900258204,1.1243699214225418,0.0007706312954842845,measured,256000,8,90.84162742123547,9099.309430214622,9.811043917814684,9.74978659023427,1.9170859736526917,1.151061992756546,2.0267859805055606
2,1.1748794869036099,1.1261005487958275,0.002802817962656222,adjusted,16000,5,83.81880312584501,8395.856033882703,9.316871023299624,9.319037342910345,1.4550052852587119,1.1503753195458042,2.0256866582672477
10,1.2048182150517357,1.1296124491146267,0.00253032258828922,adjusted,16000,5,83.51853392679271,8365.779047900605,9.21140391524484,9.117396108977356,1.1390810419802953,1.150205756191922,2.0190274978514813
9,1.200072840470746,1.1297808051725022,0.0036409612812439663,adjusted,16000,5,83.88080635368401,8402.066694917681,9.21140391524484,9.117396108977356,1.2110418127501223,1.1523516354772931,2.0493914390974566
1,1.1697068024219546,1.1298484375356739,0.003324303166712888,adjusted,16000,5,84.02450888933048,8416.46090905577,9.211335968397178,9.209305745113232,1.2815584309392944,1.1523516354772931,2.037849243174547
0,1.1675191514396186,1.1321368730609165,0.003595636887085523,adjusted,16000,5,84.97272536695857,8511.440659878126,8.658899198114,8.746894620474702,2.7293697192559847,1.1904252804954787,8.373512404400682
5,1.1915881254685892,1.1339814658469032,0.0024943408108584384,adjusted,16000,5,77.4506941274618,7757.983332715337,8.712492726926005,8.966508116286763,2.2213307375577602,1.1527892923449563,3.3318338366491353
12,1.2094423228743405,1.137517611278366,0.0055075498941499846,adjusted,16000,5,84.53272824957813,8467.36758420675,9.024623488511223,9.446274101141546,1.6380551040097868,1.1515984591975315,18.71467886028748
4,1.18776127752136,1.137703179212231,0.003818113786097396,adjusted,16000,5,85.46426229377197,8560.676310101697,9.221393008947569,9.442347945016728,1.7102968134038425,1.1541870655157325,18.84739018704779
14,1.2127940603815814,1.138445388786177,0.003133970759753114,adjusted,16000,5,93.29734684073452,9345.2908322011,9.857455233071867,10.05938644497763,6.977107415113535,1.1680195064600725,6.452176391297082
13,1.2110417529365816,1.1453056618918076,0.0032361151648582823,adjusted,16000,5,98.79097155896088,9895.569296201094,9.48560026421051,9.968102821751378,3.77511934084253,1.1918072656190917,2.001621785249229
7,1.1960925467008923,1.1469420039542877,0.003186527443472697,adjusted,16000,5,99.75418691947631,9992.051436185488,9.823537066387146,10.176908371964632,5.54574520824298,1.192435735789465,2.0068681210284463
11,1.209389136082352,1.1490885664581185,0.005019395633826901,adjusted,16000,5,99.79493938719595,9996.133477914069,9.952575314793918,10.176288888580075,5.54574520824298,1.192435735789465,2.0088683503870195
8,1.1988404833354571,1.1541378696261568,0.007365779851312334,adjusted,16000,5,93.24389258223175,9339.936493531848,9.798455777749947,10.553152441140245,3.167900055446579,1.1505498601860236,9.258388258645784
16,1.236161045011806,1.1845304603891265,0.004428260112497378,adjusted,16000,5,100.0,10016.673730448309,9.203580006271368,11.141590837303825,7.84296844373727,1.1809361878499038,4.42098745588558
15,1.2274049663810753,1.189794694316575,0.008260796049603968,adjusted,16000,5,100.0,10016.673730448309,9.213684961782738,11.082686422652651,7.95462423876488,1.1818776786451037,2.075203147396112
