idx,e_in,e_out,gd_wt,pins,pitch,refl,k_bol,k_xe,k_peak,b_peak,hump_pcm,swing_peak_pcm,swing_xe_pcm,efpd,status
0,,,,,,,,,,,,,,,MISMATCH
1,6.94,9.34,4.33,32,1.335,2.15,1.2244,1.2126,1.2486,21.5,+1588,15260,12881,5487,OK
2,4.81,7.35,3.27,24,1.208,11.43,1.2007,1.1869,1.1869,0.5,-966,10297,10297,3663,OK
3,8.30,5.87,7.30,12,1.195,16.09,1.2522,1.2319,1.2319,0.5,-1319,13285,13285,3479,OK
4,5.38,3.89,5.72,40,1.159,6.00,0.9423,0.9304,1.0228,17.5,+8352,-3663,-13371,0,OK
5,5.62,9.42,7.73,24,1.152,11.15,1.2018,1.1833,1.1833,0.5,-1304,9571,9571,4068,OK
6,4.06,6.88,6.88,12,1.166,6.81,1.2176,1.2013,1.2013,0.5,-1121,10947,10947,2950,OK
7,9.47,5.66,0.17,32,1.308,6.25,1.3137,1.3149,1.3324,1.5,+1065,20157,19158,4200,OK
8,6.22,4.78,3.61,24,1.233,8.92,1.1442,1.1249,1.1386,13.5,-430,6949,5881,2758,OK
9,3.73,8.87,1.83,12,1.215,10.45,1.2999,1.2801,1.2801,0.5,-1192,16494,16494,4207,OK
10,4.56,9.12,3.06,16,1.347,2.70,1.3008,1.2841,1.2841,0.5,-1003,17532,17532,4998,OK
11,7.33,7.79,0.85,32,1.184,14.37,1.2506,1.2431,1.2735,7.5,+1436,15827,13908,4167,OK
12,4.76,10.04,4.47,20,1.217,8.44,1.2577,1.2456,1.2456,0.5,-768,14369,14369,4868,OK
13,8.47,9.85,3.77,24,1.243,2.84,1.2947,1.2754,1.2754,0.5,-1169,16266,16266,5680,OK
14,5.87,4.41,2.43,16,1.239,9.11,1.1821,1.1620,1.1740,7.5,-584,9648,8766,2611,OK
15,9.08,3.40,4.73,32,1.293,3.29,1.0454,1.0299,1.1009,17.5,+4821,4231,-2035,2506,OK
16,3.31,8.68,2.99,32,1.251,10.06,1.1573,1.1476,1.2109,13.5,+3826,12335,7779,4227,OK
17,5.80,8.03,2.56,20,1.263,3.76,1.2662,1.2481,1.2528,7.5,-844,15003,14704,4518,OK
18,6.86,7.61,7.81,24,1.224,5.73,1.2061,1.1887,1.1887,0.5,-1216,10449,10449,4110,OK
19,9.69,7.58,6.30,24,1.179,17.52,1.2308,1.2129,1.2129,0.5,-1196,11891,11891,4289,OK
20,6.69,4.99,5.20,20,1.303,7.90,1.1731,1.1584,1.1584,0.5,-1085,8983,8983,3253,OK
21,9.01,8.61,0.73,32,1.255,12.18,1.3018,1.2940,1.3298,7.5,+1617,19744,17667,5448,OK
22,7.35,3.95,4.54,32,1.297,6.26,1.0604,1.0371,1.1082,17.5,+4069,4914,-1274,2621,OK
23,,,,,,,,,,,,,,,MISMATCH
24,9.61,6.66,3.34,24,1.239,2.86,1.2418,1.2292,1.2292,0.5,-827,13286,13286,4343,OK
25,8.30,5.32,4.08,24,1.156,8.24,1.1643,1.1473,1.1473,0.5,-1277,6986,6986,2905,OK
26,4.88,3.78,1.54,32,1.214,8.75,1.0530,1.0423,1.1457,7.5,+7690,7344,-1320,1940,OK
27,5.32,5.52,5.60,40,1.410,2.13,1.0376,1.0232,1.1302,17.5,+7901,7312,-1946,3083,OK
28,10.11,10.37,4.75,24,1.193,10.67,1.2958,1.2775,1.2775,0.5,-1105,16150,16150,5735,OK
29,3.11,7.99,4.83,40,1.275,5.44,1.0774,1.0671,1.1623,17.5,+6781,8892,1217,3707,OK
30,5.09,7.24,7.91,12,1.206,10.80,1.2522,1.2341,1.2341,0.5,-1173,13500,13500,3645,OK
31,6.48,9.05,6.20,24,1.360,3.77,1.2570,1.2427,1.2427,0.5,-917,15001,15001,5285,OK
32,7.95,5.18,6.45,24,1.171,12.92,1.1433,1.1235,1.1235,0.5,-1545,5228,5228,2748,OK
33,9.23,9.48,6.73,32,1.166,10.32,1.1957,1.1894,1.1894,0.5,-444,10125,10125,4719,OK
34,4.48,3.14,6.59,40,1.162,12.60,0.8681,0.8572,0.9870,17.5,+13874,-7158,-22505,0,OK
35,6.00,9.02,1.90,32,1.179,6.09,1.2216,1.2095,1.2358,7.5,+946,13346,11583,4389,OK
36,7.48,4.26,7.24,12,1.231,14.01,1.1992,1.1822,1.1822,0.5,-1201,10155,10155,2728,OK
37,8.74,10.00,3.04,24,1.377,4.63,1.3243,1.3077,1.3077,17.5,-953,19106,19103,6387,OK
38,4.39,4.20,3.61,32,1.310,8.65,1.0279,1.0142,1.1182,13.5,+7864,5918,-3257,2245,OK
39,9.91,3.21,1.12,32,1.286,7.75,1.1118,1.1007,1.1917,7.5,+6035,11297,4360,2649,OK
40,5.70,6.11,7.67,20,1.333,2.73,1.1850,1.1634,1.1634,0.5,-1565,9367,9367,3555,OK
41,6.87,5.70,1.15,16,1.330,4.19,1.2698,1.2579,1.2777,3.5,+489,17006,15778,3727,OK
42,5.09,4.04,0.00,24,1.388,4.85,1.2916,1.2627,1.2627,0.5,-1774,16445,16445,2360,OK
43,5.09,4.04,0.00,24,1.150,13.02,1.2622,1.2381,1.2381,0.5,-1543,13293,13293,1824,OK
44,5.09,4.04,0.00,24,1.183,14.04,1.2806,1.2481,1.2481,0.5,-2034,14212,14212,2057,OK
45,5.10,4.04,0.00,24,1.353,5.75,1.2962,1.2639,1.2639,0.5,-1968,16328,16328,2378,OK
46,5.10,4.04,0.00,24,1.333,7.96,1.2974,1.2641,1.2641,0.5,-2030,16347,16347,2381,OK
47,5.09,4.04,0.00,24,1.208,11.04,1.2851,1.2543,1.2543,0.5,-1913,14821,14821,2110,OK
48,8.71,7.80,1.93,40,1.237,14.06,1.2033,1.1935,1.2502,13.5,+3118,14811,11014,4745,OK
49,8.92,7.99,2.23,40,1.267,12.29,1.2064,1.1954,1.2572,13.5,+3351,15508,11396,5087,OK
50,8.99,8.73,2.71,40,1.289,10.88,1.2130,1.2035,1.2635,17.5,+3300,16085,12135,5527,OK
51,8.98,9.16,2.89,40,1.267,12.26,1.2158,1.2134,1.2534,17.5,+2469,15260,12628,5614,OK
52,9.23,9.89,3.15,40,1.254,12.85,1.2259,1.2207,1.2489,17.5,+1504,14869,13022,5856,OK
53,8.77,7.86,2.05,40,1.249,13.21,1.2065,1.1950,1.2507,13.5,+2934,14939,11209,4899,OK
54,8.13,7.33,1.47,32,1.206,16.02,1.2277,1.2159,1.2565,7.5,+1868,14970,12311,4321,OK
55,8.18,7.24,1.59,32,1.238,14.09,1.2302,1.2212,1.2585,7.5,+1826,15346,12917,4502,OK
56,8.24,7.27,1.87,32,1.278,11.61,1.2325,1.2191,1.2628,7.5,+1951,15951,13114,4685,OK
57,8.13,7.33,1.27,32,1.176,17.87,1.2280,1.2218,1.2476,7.5,+1283,14158,12466,4045,OK
58,8.23,7.30,2.14,32,1.308,9.75,1.2289,1.2135,1.2661,13.5,+2389,16343,12924,4815,OK
59,8.13,7.35,1.10,32,1.150,19.49,1.2255,1.2161,1.2448,7.5,+1269,13720,11822,3886,OK
