case,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,k_target,EFPD,F_dh,k_bol
0,8.99,3.82,7.19,1.315,4.8,1.0508,55.0,1.557,1.1186
1,6.94,9.34,4.33,1.335,2.2,1.0488,5487.0,1.297,1.2244
2,4.81,7.35,3.27,1.208,11.4,1.0577,3663.0,1.279,1.2007
3,8.3,5.87,7.3,1.195,16.1,1.0586,3479.0,1.357,1.2522
4,5.38,3.89,5.72,1.159,6.0,1.0626,0.0,1.245,0.9423
5,5.62,9.42,7.73,1.152,11.1,1.0629,4068.0,1.329,1.2018
6,4.06,6.88,6.88,1.166,6.8,1.0616,2950.0,1.316,1.2177
7,9.47,5.66,0.17,1.308,6.2,1.0503,4200.0,1.372,1.3137
8,6.22,4.78,3.61,1.233,8.9,1.0551,2758.0,1.264,1.1442
9,3.73,8.87,1.83,1.215,10.4,1.057,4207.0,1.404,1.2999
10,4.56,9.12,3.06,1.347,2.7,1.0481,4998.0,1.321,1.3008
11,7.33,7.79,0.85,1.184,14.4,1.0599,4167.0,1.181,1.2506
12,4.76,10.04,4.47,1.217,8.4,1.0565,4868.0,1.352,1.2577
13,8.47,9.85,3.77,1.243,2.8,1.0563,5680.0,1.233,1.2947
14,5.87,4.41,2.43,1.239,9.1,1.0546,2611.0,1.233,1.1821
15,9.08,3.4,4.73,1.293,3.3,1.0519,2506.0,1.692,1.0454
16,3.31,8.68,2.99,1.251,10.1,1.0536,4227.0,1.383,1.1573
17,5.8,8.03,2.56,1.263,3.8,1.0546,4518.0,1.245,1.2662
18,6.86,7.61,7.81,1.224,5.7,1.0574,4110.0,1.279,1.2061
19,9.69,7.58,6.3,1.179,17.5,1.06,4289.0,1.277,1.2308
20,6.69,4.99,5.2,1.303,7.9,1.0492,3253.0,1.264,1.1732
21,9.01,8.61,0.73,1.255,12.2,1.0532,5448.0,1.2,1.3018
22,7.35,3.95,4.54,1.297,6.3,1.051,2621.0,1.432,1.0604
23,8.61,6.83,3.2,1.203,6.7,1.0585,3996.0,1.26,1.0664
24,9.61,6.66,3.34,1.239,2.9,1.0567,4343.0,1.316,1.2419
25,8.3,5.32,4.08,1.156,8.2,1.0621,2905.0,1.384,1.1643
26,4.88,3.78,1.54,1.214,8.8,1.0568,1940.0,1.225,1.053
27,5.32,5.52,5.6,1.41,2.1,1.044,3083.0,1.333,1.0376
28,10.11,10.37,4.75,1.193,10.7,1.059,5735.0,1.203,1.2958
29,3.11,7.99,4.83,1.275,5.4,1.0534,3707.0,1.417,1.0774
30,5.09,7.24,7.91,1.206,10.8,1.0579,3645.0,1.265,1.2522
31,6.48,9.05,6.2,1.36,3.8,1.0475,5285.0,1.324,1.257
32,7.95,5.18,6.45,1.171,12.9,1.0611,2748.0,1.357,1.1433
33,9.23,9.48,6.73,1.166,10.3,1.0615,4719.0,1.249,1.1957
34,4.48,3.14,6.59,1.162,12.6,1.062,0.0,1.299,0.8681
35,6.0,9.02,1.9,1.179,6.1,1.0609,4389.0,1.275,1.2216
36,7.48,4.26,7.24,1.231,14.0,1.0555,2728.0,1.539,1.1992
37,8.74,10.0,3.04,1.377,4.6,1.0463,6387.0,1.229,1.3243
38,4.39,4.2,3.61,1.31,8.6,1.0488,2245.0,1.259,1.0279
39,9.91,3.21,1.12,1.286,7.7,1.0503,2649.0,1.706,1.1118
40,5.7,6.11,7.67,1.333,2.7,1.0491,3555.0,1.267,1.185
41,6.87,5.7,1.15,1.33,4.2,1.0496,3727.0,1.252,1.2698
42,5.09,4.04,0.0,1.388,4.8,1.0456,2360.0,1.278,1.2916
43,5.09,4.04,0.0,1.15,13.0,1.0631,1824.0,1.255,1.2622
44,5.09,4.04,0.0,1.183,14.0,1.06,2057.0,1.251,1.2806
45,5.1,4.04,0.0,1.353,5.7,1.0477,2378.0,1.243,1.2962
46,5.1,4.04,0.0,1.333,8.0,1.0476,2381.0,1.26,1.2974
47,5.09,4.04,0.0,1.208,11.0,1.0577,2110.0,1.229,1.2851
48,8.71,7.8,1.93,1.237,14.1,1.0549,4745.0,1.248,1.2033
49,8.92,7.99,2.23,1.267,12.3,1.0521,5087.0,1.218,1.2064
50,8.99,8.73,2.71,1.289,10.9,1.0501,5527.0,1.243,1.213
51,8.98,9.16,2.89,1.267,12.3,1.0522,5614.0,1.243,1.2158
52,9.23,9.89,3.15,1.254,12.8,1.0533,5856.0,1.29,1.2259
53,8.77,7.86,2.05,1.249,13.2,1.0538,4899.0,1.231,1.2065
54,8.13,7.33,1.47,1.206,16.0,1.0576,4321.0,1.208,1.2277
55,8.18,7.24,1.59,1.238,14.1,1.0548,4502.0,1.184,1.2302
56,8.24,7.27,1.87,1.278,11.6,1.0511,4685.0,1.198,1.2324
57,8.13,7.33,1.27,1.176,17.9,1.0603,4045.0,1.188,1.228
58,8.23,7.3,2.14,1.308,9.7,1.049,4815.0,1.189,1.2289
59,8.13,7.35,1.1,1.15,19.5,1.0632,3886.0,1.185,1.2255
