idx,k_bol_assembly,keff_core_bol,gap_pcm,peaking_core,cycle_length_as_recorded,feasible_assembly_135,feasible_core_135
0,1.29368,1.23192,6176,3.5159,7512.5,0,0
1,1.38080,1.32113,5967,2.0725,7512.5,0,0
2,1.42912,1.37209,5702,2.5707,7512.5,0,0
3,1.33169,1.26250,6919,2.4878,7512.5,0,0
4,1.39138,1.31936,7201,2.2593,7512.5,0,0
5,1.47748,1.41743,6005,2.0646,7512.5,0,0
6,1.39548,1.32295,7254,1.9215,7512.5,0,1
7,1.32122,1.24813,7308,2.7302,7512.5,0,0
8,1.35124,1.28734,6390,2.1986,7512.5,0,0
9,1.25118,1.18607,6511,3.4223,4523.5,0,0
10,1.34437,1.28079,6358,2.7368,7512.5,0,0
11,1.45058,1.39102,5956,2.2674,7512.5,0,0
12,1.43598,1.36703,6895,2.1969,7512.5,0,0
13,1.43453,1.37185,6268,2.1480,7512.5,0,0
14,1.33499,1.26738,6761,2.9319,7438.7,0,0
15,1.40408,1.34615,5793,2.7138,7512.5,0,0
16,1.41483,1.34386,7097,2.3873,7512.5,0,0
17,1.38863,1.32198,6666,2.2433,7512.5,0,0
18,1.30954,1.23890,7064,2.4006,7471.7,0,0
19,1.35038,1.28088,6950,2.3023,7512.5,0,0
20,1.38899,1.31981,6918,2.4807,7512.5,0,0
21,1.38607,1.31758,6850,2.3247,7512.5,0,0
22,1.41885,1.34847,7038,2.0602,7512.5,0,0
23,1.35884,1.30084,5800,2.4050,7512.5,0,0
24,1.28011,1.21796,6215,4.0469,7435.9,0,0
25,1.38793,1.32252,6542,2.5974,7512.5,0,0
26,1.44237,1.37849,6388,2.2006,7512.5,0,0
27,1.20213,1.15198,5015,4.1290,4485.9,0,0
28,1.51564,1.45333,6230,2.1140,7512.5,0,0
29,1.37045,1.30751,6294,2.2668,7512.5,0,0
30,1.25239,1.18354,6885,2.2349,5938.8,0,0
31,1.40825,1.34429,6396,2.1324,7512.5,0,0
32,1.44583,1.37050,7533,2.0782,7512.5,0,0
33,1.14536,1.07735,6801,3.2331,2696.4,0,0
34,1.20268,1.13967,6301,2.5955,3695.1,0,0
35,1.38533,1.31766,6768,2.3073,7512.5,0,0
36,1.36667,1.29440,7227,2.0860,7512.5,0,0
37,1.36712,1.29465,7247,2.1308,7512.5,0,0
38,1.36751,1.29472,7280,2.0822,7512.5,0,0
39,1.36888,1.29475,7412,2.1249,7512.5,0,0
40,1.36641,1.29425,7216,2.0465,7512.5,0,0
41,1.36670,1.29490,7180,2.1047,7512.5,0,0
42,1.35560,1.28361,7200,1.9621,7512.5,0,1
43,1.35550,1.28412,7138,1.9982,7512.5,0,1
44,1.35638,1.28432,7206,1.9472,7512.5,0,1
45,1.35608,1.28387,7221,2.0102,7512.5,0,0
46,1.35668,1.28521,7147,1.9690,7512.5,0,1
47,1.35550,1.28387,7162,1.9752,7512.5,0,1
48,1.35066,1.27871,7195,2.0234,7512.5,0,0
49,1.34940,1.27857,7082,2.0102,7512.5,0,0
50,1.34967,1.27913,7055,2.0171,7512.5,0,0
51,1.35020,1.27915,7105,2.0471,7512.5,0,0
52,1.35002,1.27863,7138,2.0233,7512.5,0,0
53,1.35030,1.27817,7213,1.9773,7512.5,0,1
