reboot   system boot  6.8.0-134-generi Fri Aug 21 10:29   still running
reboot   system boot  6.8.0-134-generi Tue Aug 18 14:44   still running
reboot   system boot  6.8.0-134-generi Tue Aug 18 11:44   still running
reboot   system boot  6.8.0-134-generi Fri Jul 31 07:23   still running
reboot   system boot  6.8.0-134-generi Wed Jul 22 16:20   still running
reboot   system boot  6.8.0-134-generi Thu Jul 16 16:17 - 10:43 (5+18:25)
reboot   system boot  6.8.0-111-generi Thu Jun 25 10:47 - 16:16 (21+05:28)
reboot   system boot  6.8.0-111-generi Wed Jun 24 15:49 - 16:16 (22+00:26)
reboot   system boot  6.8.0-111-generi Mon Jun 22 11:47 - 16:16 (24+04:28)
reboot   system boot  6.8.0-111-generi Fri May 29 14:53 - 16:16 (48+01:22)
reboot   system boot  6.8.0-111-generi Mon May  4 15:37 - 14:51 (24+23:14)
reboot   system boot  6.8.0-90-generic Tue Mar 17 18:23 - 15:35 (47+20:12)
reboot   system boot  6.8.0-90-generic Fri Feb 20 17:11 - 18:21 (25+01:10)
reboot   system boot  6.8.0-90-generic Fri Feb 20 16:15 - 17:08  (00:53)
reboot   system boot  6.8.0-90-generic Fri Feb 20 13:58 - 16:13  (02:14)
reboot   system boot  6.8.0-90-generic Wed Feb 18 14:33 - 13:43 (1+23:10)
reboot   system boot  6.8.0-90-generic Thu Feb 12 13:59 - 13:45 (5+23:46)
reboot   system boot  6.8.0-90-generic Thu Feb 12 13:30 - 13:55  (00:25)
reboot   system boot  6.8.0-90-generic Thu Feb 12 13:18 - 13:55  (00:36)
reboot   system boot  6.8.0-90-generic Thu Feb 12 13:12 - 13:15  (00:03)
reboot   system boot  6.8.0-90-generic Thu Feb 12 13:07 - 13:10  (00:02)
reboot   system boot  6.8.0-90-generic Mon Jan 12 14:41 - 12:49 (30+22:08)
reboot   system boot  6.8.0-90-generic Mon Jan 12 13:55 - 14:01  (00:06)
reboot   system boot  6.8.0-90-generic Mon Dec 22 17:46 - 13:53 (20+20:06)
reboot   system boot  6.8.0-90-generic Mon Dec 22 17:26 - 17:45  (00:18)
