idx,n_blocks,n_ghosts,ghost_jump_pcm,bu_label_final,bu_true_final,efpd_label,efpd_true,overstatement,slope_true_pcm,k_target,status,censored,eoc_true_bu,eoc_true_efpd
0,7,6,913.9,61.496,35.998,6160.3,3606.0,1.708,568.7,1.05121,crossed,False,34.316,3437.5
1,9,8,580.1,74.995,41.497,7512.5,4156.9,1.807,455.8,1.06194,censored_at_cap,True,,
2,9,8,746.8,74.995,42.997,7512.5,4307.2,1.744,491.0,1.05243,censored_at_cap,True,,
3,9,8,617.0,74.995,42.997,7512.5,4307.2,1.744,432.5,1.05416,censored_at_cap,True,,
4,9,8,888.4,74.995,42.997,7512.5,4307.2,1.744,549.1,1.05364,censored_at_cap,True,,
5,4,3,1109.4,37.498,25.498,3756.3,2554.3,1.471,440.8,1.06081,crossed,False,22.235,2227.4
6,9,8,955.5,74.995,42.997,7512.5,4307.2,1.744,550.1,1.05837,censored_at_cap,True,,
7,9,8,829.9,74.995,42.997,7512.5,4307.2,1.744,325.9,1.04932,censored_at_cap,True,,
8,9,8,897.7,74.995,42.997,7512.5,4307.2,1.744,564.5,1.05523,censored_at_cap,True,,
9,5,4,1172.9,45.497,29.498,4557.6,2954.9,1.542,661.6,1.05977,crossed,False,28.313,2836.2
10,9,8,820.8,74.995,42.997,7512.5,4307.2,1.744,533.4,1.05585,censored_at_cap,True,,
11,9,8,1205.5,74.995,42.997,7512.5,4307.2,1.744,674.7,1.04909,censored_at_cap,True,,
12,9,8,537.6,74.995,42.997,7512.5,4307.2,1.744,423.5,1.05815,censored_at_cap,True,,
13,9,8,825.0,74.995,42.997,7512.5,4307.2,1.744,513.1,1.06012,censored_at_cap,True,,
14,9,8,462.9,74.995,42.997,7512.5,4307.2,1.744,344.1,1.05787,censored_at_cap,True,,
15,9,8,504.4,74.995,42.997,7512.5,4307.2,1.744,504.9,1.06213,censored_at_cap,True,,
16,9,8,832.7,74.995,42.997,7512.5,4307.2,1.744,487.3,1.05619,censored_at_cap,True,,
17,9,8,1205.8,74.995,42.997,7512.5,4307.2,1.744,666.2,1.0443,censored_at_cap,True,,
18,3,2,1535.7,29.498,21.499,2954.9,2153.6,1.372,742.1,1.05056,crossed,False,20.784,2082.0
