case,idx,stage,iteration,t_start,t_last_end,wall_s,solve_s,overhead_s,asm_bol_s,core_bol_s,dep_transport_s,n_dep_solves,n_dep_chunks,n_solves,gap_before_s,gap_kind,runtime_missing,mixed,n_stale_solves,stale_solve_s
case_0000,0,DOE,0,2026-08-21 13:23:48.594015,2026-08-21 15:31:38,7669.405985,7157.433299563,511.9726854370001,17.405984981000003,97.72142594600001,7042.305888636,22,9,24,0.0,start,0,False,0,0.0
case_0001,1,DOE,0,2026-08-21 15:31:46.344189,2026-08-21 16:17:00,2713.655811,2578.477034843,135.1787761569999,17.655810829,107.26667504,2453.554548974,8,2,10,8.344189,intra,0,False,0,0.0
case_0002,2,DOE,0,2026-08-21 16:17:04.529620,2026-08-21 17:52:33,5728.47038,5363.308610745999,365.1617692540003,18.470380479,110.261932904,5234.576297363,16,6,18,4.52962,intra,0,False,0,0.0
case_0003,3,DOE,0,2026-08-21 17:52:39.723530,2026-08-21 18:52:59,3619.27647,3422.41639525,196.86007474999997,18.276470105,112.73041070699999,3291.409514438,10,3,12,6.72353,intra,0,False,0,0.0
case_0004,4,DOE,0,2026-08-21 18:53:04.497630,2026-08-21 20:39:23,6378.50237,5825.363938321999,553.1384316780013,16.502369842,92.16198571900001,5716.699582760999,22,9,24,5.49763,intra,0,False,0,0.0
case_0005,5,DOE,0,2026-08-21 20:39:31.434499,2026-08-21 22:29:03,6571.565501,6006.541571499999,565.023929500001,15.565500766,89.864908617,5901.111162116999,22,9,24,8.434499,intra,0,False,0,0.0
case_0006,6,DOE,0,2026-08-21 22:29:11.549924,2026-08-22 00:14:08,6296.450076,5727.289393075,569.1606829250004,16.450076036,88.628781689,5622.21053535,22,9,24,8.549924,intra,0,False,0,0.0
case_0007,7,DOE,0,2026-08-22 00:14:16.068020,2026-08-22 02:13:20,7143.93198,6568.3615078759985,575.5704721240018,16.931979857,99.85315866600001,6451.576369352999,22,9,24,8.06802,intra,0,False,0,0.0
case_0008,8,DOE,0,2026-08-22 02:13:28.499580,2026-08-22 04:15:37,7328.50042,6749.755894471,578.7445255290004,17.500420458,100.784178213,6631.4712958,22,9,24,8.49958,intra,0,False,0,0.0
case_0009,9,DOE,0,2026-08-22 04:15:44.728251,2026-08-22 06:05:11,6566.271749,5977.117704714001,589.1540442859996,16.271749498,91.032696744,5869.813258472001,22,9,24,7.728251,intra,0,False,0,0.0
case_0010,10,DOE,0,2026-08-22 06:05:19.255682,2026-08-22 07:57:03,6703.744318,6114.395200495,589.3491175050003,16.744317555000002,93.002283384,6004.648599556,22,9,24,8.255682,intra,0,False,0,0.0
case_0011,11,DOE,0,2026-08-22 07:57:11.305656,2026-08-22 09:41:50,6278.694344,5682.238882109,596.4554618909997,15.694343854,89.10009416899999,5577.444444086,22,9,24,8.305656,intra,0,False,0,0.0
case_0012,12,DOE,0,2026-08-22 09:41:58.102766,2026-08-22 11:38:34,6995.897234,6463.001601949001,532.8956320509988,17.897233992,103.608672483,6341.495695474001,20,8,22,8.102766,intra,0,False,0,0.0
case_0013,13,DOE,0,2026-08-22 11:38:41.650136,2026-08-22 13:25:37,6415.349864,5818.467160861999,596.8827031380006,16.349864213,89.29017607600001,5712.827120572999,22,9,24,7.650136,intra,0,False,0,0.0
case_0014,14,DOE,0,2026-08-22 13:25:45.815817,2026-08-22 14:22:57,3431.184183,3210.528938579,220.65524442099968,18.18418303,107.763920023,3084.580835526,10,3,12,8.815817,intra,0,False,0,0.0
case_0015,15,DOE,0,2026-08-22 14:23:01.960970,2026-08-22 15:59:34,5792.03903,5318.688393877,473.3506361230002,17.039030251,98.120994114,5203.528369512,18,7,20,4.96097,intra,0,False,0,0.0
case_0016,16,DOE,0,2026-08-22 15:59:41.482458,2026-08-22 17:57:40,7078.517542,6467.946808752,610.5707332479997,16.517541704,92.827916969,6358.6013500789995,22,9,24,7.482458,intra,0,False,0,0.0
