file,end,n_particles,n_batches,n_inactive,init_s,sim_s,transport_s
core_check/design5/seed1/statepoint.150.h5,2026-08-12 02:13:40,100000,150,40,7.4,98.3,96.2
core_check/design53/seed1/statepoint.150.h5,2026-08-12 02:16:05,100000,150,40,7.4,79.7,77.4
core_check/design53/seed2/statepoint.150.h5,2026-08-12 02:17:39,100000,150,40,7.6,82.7,80.3
core_check/design53/seed3/statepoint.150.h5,2026-08-12 02:19:14,100000,150,40,7.8,83.3,81.2
core_check/design49/seed1/statepoint.150.h5,2026-08-12 02:20:50,100000,150,40,7.6,85.1,82.9
core_check/design49/seed2/statepoint.150.h5,2026-08-12 02:22:25,100000,150,40,7.6,83.4,81.2
core_check/design49/seed3/statepoint.150.h5,2026-08-12 02:23:58,100000,150,40,7.6,82.1,80.0
core_check/design51/seed1/statepoint.150.h5,2026-08-12 02:25:32,100000,150,40,7.7,83.4,81.2
core_check/design51/seed2/statepoint.150.h5,2026-08-12 02:27:07,100000,150,40,7.5,83.3,80.9
core_check/design51/seed3/statepoint.150.h5,2026-08-12 02:28:41,100000,150,40,7.5,83.3,80.9
core_check/design18/seed1/statepoint.150.h5,2026-08-12 02:30:25,100000,150,40,7.6,93.1,90.8
core_check/design18/seed2/statepoint.150.h5,2026-08-12 02:32:09,100000,150,40,7.6,93.3,91.1
core_check/design18/seed3/statepoint.150.h5,2026-08-12 02:33:53,100000,150,40,7.6,93.1,91.0
core_check/design45/seed1/statepoint.150.h5,2026-08-12 02:35:39,100000,150,40,7.7,93.9,91.5
core_check/design45/seed2/statepoint.150.h5,2026-08-12 02:37:24,100000,150,40,7.6,93.8,91.3
core_check/design45/seed3/statepoint.150.h5,2026-08-12 02:39:09,100000,150,40,7.6,94.8,92.6
core_check/design46/seed1/statepoint.150.h5,2026-08-12 02:40:56,100000,150,40,7.6,95.3,93.0
core_check/design46/seed2/statepoint.150.h5,2026-08-12 02:42:42,100000,150,40,7.6,95.5,93.0
core_check/design46/seed3/statepoint.150.h5,2026-08-12 02:44:29,100000,150,40,7.6,95.6,93.1
core_check/design46/seed4/statepoint.150.h5,2026-08-12 10:58:50,100000,150,40,7.4,89.0,86.8
core_check/design46/seed5/statepoint.150.h5,2026-08-12 11:00:31,100000,150,40,7.5,90.0,87.8
core_check/design46/seed6/statepoint.150.h5,2026-08-12 11:02:14,100000,150,40,7.6,92.1,90.0
core_check/design46/seed7/statepoint.150.h5,2026-08-12 11:03:55,100000,150,40,7.5,91.0,88.9
core_check/design46/seed8/statepoint.150.h5,2026-08-12 11:05:40,100000,150,40,7.7,93.2,91.1
core_check/design45/seed4/statepoint.150.h5,2026-08-12 11:07:22,100000,150,40,7.6,91.1,88.7
core_check/design45/seed5/statepoint.150.h5,2026-08-12 11:09:05,100000,150,40,7.8,92.2,89.7
core_check/design45/seed6/statepoint.150.h5,2026-08-12 11:10:48,100000,150,40,7.5,91.8,89.4
core_check/design45/seed7/statepoint.150.h5,2026-08-12 11:12:31,100000,150,40,7.5,92.2,89.7
core_check/design45/seed8/statepoint.150.h5,2026-08-12 11:14:15,100000,150,40,7.6,93.1,90.5
core_check/design53/seed4/statepoint.150.h5,2026-08-12 11:15:51,100000,150,40,7.5,84.4,82.2
core_check/design53/seed5/statepoint.150.h5,2026-08-12 11:17:28,100000,150,40,7.7,85.7,83.5
core_check/design53/seed6/statepoint.150.h5,2026-08-12 11:19:03,100000,150,40,7.5,84.4,82.2
core_check/design53/seed7/statepoint.150.h5,2026-08-12 11:20:39,100000,150,40,7.6,84.6,82.4
core_check/design53/seed8/statepoint.150.h5,2026-08-12 11:22:15,100000,150,40,7.6,84.7,82.5
