file,end,n_particles,n_batches,n_inactive,init_s,sim_s,transport_s
core_rescore/design6/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:30:27,100000,170,60,7.4,87.5,84.9
core_rescore/design6/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:32:08,100000,170,60,7.6,90.4,88.0
core_rescore/design6/100000x170i60/seed3/statepoint.170.h5,2026-08-12 17:33:50,100000,170,60,7.7,90.4,88.1
core_rescore/design8/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:35:33,100000,170,60,7.8,92.5,90.0
core_rescore/design8/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:37:18,100000,170,60,7.7,93.5,90.7
core_rescore/design8/100000x170i60/seed3/statepoint.170.h5,2026-08-12 17:39:02,100000,170,60,7.7,93.3,90.7
core_rescore/design9/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:40:57,100000,170,60,7.7,103.1,100.4
core_rescore/design9/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:42:50,100000,170,60,7.8,102.4,99.8
core_rescore/design9/100000x170i60/seed3/statepoint.170.h5,2026-08-12 17:44:44,100000,170,60,7.8,102.9,100.4
core_rescore/design11/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:46:23,100000,170,60,7.8,87.2,84.7
core_rescore/design11/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:48:02,100000,170,60,7.9,87.4,84.8
core_rescore/design11/100000x170i60/seed3/statepoint.170.h5,2026-08-12 17:49:39,100000,170,60,7.7,86.5,83.7
core_rescore/design13/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:51:32,100000,170,60,7.8,101.3,98.8
core_rescore/design13/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:53:24,100000,170,60,8.0,100.3,97.8
core_rescore/design13/100000x170i60/seed3/statepoint.170.h5,2026-08-12 17:55:16,100000,170,60,7.9,101.3,98.5
core_rescore/design16/100000x170i60/seed1/statepoint.170.h5,2026-08-12 17:57:01,100000,170,60,7.8,93.5,91.0
core_rescore/design16/100000x170i60/seed2/statepoint.170.h5,2026-08-12 17:58:47,100000,170,60,7.8,94.3,91.6
core_rescore/design16/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:00:33,100000,170,60,7.9,94.7,92.1
core_rescore/design18/100000x170i60/seed1/statepoint.170.h5,2026-08-12 18:02:19,100000,170,60,7.7,94.4,91.9
core_rescore/design18/100000x170i60/seed2/statepoint.170.h5,2026-08-12 18:04:05,100000,170,60,7.8,94.7,92.3
core_rescore/design18/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:05:51,100000,170,60,7.9,94.7,92.1
core_rescore/design23/100000x170i60/seed1/statepoint.170.h5,2026-08-12 18:07:35,100000,170,60,7.9,92.7,90.1
core_rescore/design23/100000x170i60/seed2/statepoint.170.h5,2026-08-12 18:09:18,100000,170,60,8.0,91.3,88.8
core_rescore/design23/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:11:01,100000,170,60,7.9,92.1,89.6
core_rescore/design27/100000x170i60/seed1/statepoint.170.h5,2026-08-12 18:12:37,100000,170,60,7.7,84.8,82.0
core_rescore/design27/100000x170i60/seed2/statepoint.170.h5,2026-08-12 18:14:14,100000,170,60,7.8,85.4,82.9
core_rescore/design27/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:15:50,100000,170,60,7.8,84.4,81.9
core_rescore/design29/100000x170i60/seed1/statepoint.170.h5,2026-08-12 18:17:40,100000,170,60,7.9,98.9,96.4
core_rescore/design29/100000x170i60/seed2/statepoint.170.h5,2026-08-12 18:19:30,100000,170,60,7.9,99.3,96.9
core_rescore/design29/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:21:21,100000,170,60,8.0,99.0,96.2
core_rescore/design30/100000x170i60/seed1/statepoint.170.h5,2026-08-12 18:23:13,100000,170,60,7.9,100.3,97.5
core_rescore/design30/100000x170i60/seed2/statepoint.170.h5,2026-08-12 18:25:06,100000,170,60,7.9,101.7,99.2
core_rescore/design30/100000x170i60/seed3/statepoint.170.h5,2026-08-12 18:26:56,100000,170,60,7.9,98.2,95.8
