file,end,n_particles,n_batches,n_inactive,init_s,sim_s,transport_s
rank_c3/cand0/p64000/seed1/statepoint.120.h5,2026-08-11 20:46:22,64000,120,30,5.9,37.6,36.4
rank_c3/cand0/p64000/seed2/statepoint.120.h5,2026-08-11 20:47:08,64000,120,30,6.0,37.1,36.0
rank_c3/cand0/p64000/seed3/statepoint.120.h5,2026-08-11 20:47:55,64000,120,30,6.1,37.3,36.2
rank_c3/cand0/p64000/seed4/statepoint.120.h5,2026-08-11 20:48:42,64000,120,30,6.1,37.8,36.7
rank_c3/cand0/p64000/seed5/statepoint.120.h5,2026-08-11 20:49:29,64000,120,30,6.2,38.0,36.7
rank_c3/cand1/p64000/seed1/statepoint.120.h5,2026-08-11 20:50:22,64000,120,30,6.0,43.2,41.9
rank_c3/cand1/p64000/seed2/statepoint.120.h5,2026-08-11 20:51:14,64000,120,30,6.2,42.5,41.4
rank_c3/cand1/p64000/seed3/statepoint.120.h5,2026-08-11 20:52:06,64000,120,30,6.3,42.3,41.1
rank_c3/cand1/p64000/seed4/statepoint.120.h5,2026-08-11 20:52:59,64000,120,30,6.4,42.5,41.3
rank_c3/cand1/p64000/seed5/statepoint.120.h5,2026-08-11 20:53:52,64000,120,30,6.6,43.1,41.8
rank_c3/cand2/p64000/seed1/statepoint.120.h5,2026-08-11 20:54:39,64000,120,30,6.4,38.0,36.8
rank_c3/cand2/p64000/seed2/statepoint.120.h5,2026-08-11 20:55:28,64000,120,30,6.3,38.6,37.3
rank_c3/cand2/p64000/seed3/statepoint.120.h5,2026-08-11 20:56:16,64000,120,30,6.3,38.6,37.4
rank_c3/cand2/p64000/seed4/statepoint.120.h5,2026-08-11 20:57:05,64000,120,30,6.1,39.3,38.1
rank_c3/cand2/p64000/seed5/statepoint.120.h5,2026-08-11 20:57:53,64000,120,30,6.3,38.6,37.5
rank_c3/cand3/p64000/seed1/statepoint.120.h5,2026-08-11 20:58:46,64000,120,30,6.1,43.5,42.1
rank_c3/cand3/p64000/seed2/statepoint.120.h5,2026-08-11 20:59:39,64000,120,30,6.1,43.7,42.4
rank_c3/cand3/p64000/seed3/statepoint.120.h5,2026-08-11 21:00:32,64000,120,30,6.1,43.3,42.1
rank_c3/cand3/p64000/seed4/statepoint.120.h5,2026-08-11 21:01:25,64000,120,30,6.1,43.9,42.7
rank_c3/cand3/p64000/seed5/statepoint.120.h5,2026-08-11 21:02:19,64000,120,30,6.2,43.8,42.5
rank_c3/cand4/p64000/seed1/statepoint.120.h5,2026-08-11 21:03:07,64000,120,30,6.1,39.2,38.1
rank_c3/cand4/p64000/seed2/statepoint.120.h5,2026-08-11 21:03:56,64000,120,30,6.1,39.4,38.2
rank_c3/cand4/p64000/seed3/statepoint.120.h5,2026-08-11 21:04:44,64000,120,30,6.1,38.8,37.6
rank_c3/cand4/p64000/seed4/statepoint.120.h5,2026-08-11 21:05:33,64000,120,30,6.1,39.3,38.1
rank_c3/cand4/p64000/seed5/statepoint.120.h5,2026-08-11 21:06:22,64000,120,30,6.1,39.0,37.7
rank_c3/cand5/p64000/seed1/statepoint.120.h5,2026-08-11 21:07:12,64000,120,30,6.1,40.4,39.3
rank_c3/cand5/p64000/seed2/statepoint.120.h5,2026-08-11 21:08:00,64000,120,30,6.1,39.4,38.2
