file,end,n_particles,n_batches,n_inactive,init_s,sim_s,transport_s
rank_front/cand0/p16000/seed1/statepoint.120.h5,2026-08-05 00:09:30,16000,120,30,5.9,11.1,10.8
rank_front/cand0/p16000/seed2/statepoint.120.h5,2026-08-05 00:09:50,16000,120,30,5.9,11.1,10.8
rank_front/cand0/p16000/seed3/statepoint.120.h5,2026-08-05 00:10:10,16000,120,30,6.0,11.1,10.8
rank_front/cand0/p16000/seed4/statepoint.120.h5,2026-08-05 00:10:31,16000,120,30,5.8,11.3,11.0
rank_front/cand0/p16000/seed5/statepoint.120.h5,2026-08-05 00:10:51,16000,120,30,5.9,11.3,11.1
rank_front/cand1/p16000/seed1/statepoint.120.h5,2026-08-05 00:11:12,16000,120,30,5.9,11.6,11.3
rank_front/cand1/p16000/seed2/statepoint.120.h5,2026-08-05 00:11:33,16000,120,30,5.9,11.7,11.4
rank_front/cand1/p16000/seed3/statepoint.120.h5,2026-08-05 00:11:54,16000,120,30,5.9,11.7,11.4
rank_front/cand1/p16000/seed4/statepoint.120.h5,2026-08-05 00:12:14,16000,120,30,5.9,11.6,11.4
rank_front/cand1/p16000/seed5/statepoint.120.h5,2026-08-05 00:12:35,16000,120,30,5.9,11.6,11.4
rank_front/cand2/p16000/seed1/statepoint.120.h5,2026-08-05 00:12:56,16000,120,30,5.9,11.9,11.6
rank_front/cand2/p16000/seed2/statepoint.120.h5,2026-08-05 00:13:17,16000,120,30,5.9,11.5,11.2
rank_front/cand2/p16000/seed3/statepoint.120.h5,2026-08-05 00:13:38,16000,120,30,5.9,11.9,11.6
rank_front/cand2/p16000/seed4/statepoint.120.h5,2026-08-05 00:13:59,16000,120,30,5.9,11.7,11.5
rank_front/cand2/p16000/seed5/statepoint.120.h5,2026-08-05 00:14:20,16000,120,30,5.9,11.4,11.1
rank_front/cand3/p16000/seed1/statepoint.120.h5,2026-08-05 00:14:41,16000,120,30,5.9,12.0,11.7
rank_front/cand3/p16000/seed2/statepoint.120.h5,2026-08-05 00:15:02,16000,120,30,6.0,11.9,11.6
rank_front/cand3/p16000/seed3/statepoint.120.h5,2026-08-05 00:15:23,16000,120,30,5.9,12.1,11.8
rank_front/cand3/p16000/seed4/statepoint.120.h5,2026-08-05 00:15:44,16000,120,30,5.9,11.9,11.6
rank_front/cand3/p16000/seed5/statepoint.120.h5,2026-08-05 00:16:05,16000,120,30,5.9,11.9,11.6
rank_front/cand4/p16000/seed1/statepoint.120.h5,2026-08-05 00:16:27,16000,120,30,5.9,12.0,11.7
rank_front/cand4/p16000/seed2/statepoint.120.h5,2026-08-05 00:16:48,16000,120,30,6.3,11.8,11.5
rank_front/cand4/p16000/seed3/statepoint.120.h5,2026-08-05 00:17:09,16000,120,30,5.9,11.8,11.5
rank_front/cand4/p16000/seed4/statepoint.120.h5,2026-08-05 00:17:30,16000,120,30,5.9,11.6,11.3
rank_front/cand4/p16000/seed5/statepoint.120.h5,2026-08-05 00:17:51,16000,120,30,6.0,11.7,11.5
rank_front/cand5/p16000/seed1/statepoint.120.h5,2026-08-05 00:18:12,16000,120,30,5.9,11.9,11.6
rank_front/cand5/p16000/seed2/statepoint.120.h5,2026-08-05 00:18:33,16000,120,30,5.9,12.0,11.7
rank_front/cand5/p16000/seed3/statepoint.120.h5,2026-08-05 00:18:54,16000,120,30,5.9,11.9,11.6
rank_front/cand5/p16000/seed4/statepoint.120.h5,2026-08-05 00:19:15,16000,120,30,5.9,12.0,11.7
rank_front/cand5/p16000/seed5/statepoint.120.h5,2026-08-05 00:19:36,16000,120,30,5.9,11.7,11.4
rank_front/cand6/p16000/seed1/statepoint.120.h5,2026-08-05 00:19:58,16000,120,30,6.0,12.1,11.8
rank_front/cand6/p16000/seed2/statepoint.120.h5,2026-08-05 00:20:19,16000,120,30,6.2,12.0,11.7
rank_front/cand6/p16000/seed3/statepoint.120.h5,2026-08-05 00:20:41,16000,120,30,5.9,12.1,11.8
rank_front/cand6/p16000/seed4/statepoint.120.h5,2026-08-05 00:21:02,16000,120,30,5.9,11.9,11.6
rank_front/cand6/p16000/seed5/statepoint.120.h5,2026-08-05 00:21:22,16000,120,30,5.9,11.7,11.4
rank_front/cand7/p16000/seed1/statepoint.120.h5,2026-08-05 00:21:43,16000,120,30,5.9,10.9,10.6
rank_front/cand7/p16000/seed2/statepoint.120.h5,2026-08-05 00:22:03,16000,120,30,5.9,11.0,10.7
rank_front/cand7/p16000/seed3/statepoint.120.h5,2026-08-05 00:22:23,16000,120,30,5.9,11.2,10.9
rank_front/cand7/p16000/seed4/statepoint.120.h5,2026-08-05 00:22:44,16000,120,30,5.9,11.2,10.9
rank_front/cand7/p16000/seed5/statepoint.120.h5,2026-08-05 00:23:04,16000,120,30,5.9,11.1,10.8
rank_front/cand8/p16000/seed1/statepoint.120.h5,2026-08-05 00:23:25,16000,120,30,6.2,11.5,11.2
rank_front/cand8/p16000/seed2/statepoint.120.h5,2026-08-05 00:23:46,16000,120,30,5.9,11.3,11.0
rank_front/cand8/p16000/seed3/statepoint.120.h5,2026-08-05 00:24:06,16000,120,30,6.0,11.5,11.2
rank_front/cand8/p16000/seed4/statepoint.120.h5,2026-08-05 00:24:27,16000,120,30,5.9,11.7,11.4
rank_front/cand8/p16000/seed5/statepoint.120.h5,2026-08-05 00:24:48,16000,120,30,5.9,11.4,11.2
rank_front/cand9/p16000/seed1/statepoint.120.h5,2026-08-05 00:25:09,16000,120,30,5.9,11.8,11.5
rank_front/cand9/p16000/seed2/statepoint.120.h5,2026-08-05 00:25:30,16000,120,30,6.0,12.0,11.7
rank_front/cand9/p16000/seed3/statepoint.120.h5,2026-08-05 00:25:51,16000,120,30,6.0,11.8,11.5
rank_front/cand9/p16000/seed4/statepoint.120.h5,2026-08-05 00:26:12,16000,120,30,6.0,11.8,11.5
rank_front/cand9/p16000/seed5/statepoint.120.h5,2026-08-05 00:26:33,16000,120,30,5.9,11.6,11.3
rank_front/cand10/p16000/seed1/statepoint.120.h5,2026-08-05 00:26:54,16000,120,30,6.0,11.6,11.4
rank_front/cand10/p16000/seed2/statepoint.120.h5,2026-08-05 00:27:16,16000,120,30,6.7,11.6,11.3
rank_front/cand10/p16000/seed3/statepoint.120.h5,2026-08-05 00:27:37,16000,120,30,5.9,11.9,11.6
rank_front/cand10/p16000/seed4/statepoint.120.h5,2026-08-05 00:27:59,16000,120,30,5.9,12.3,12.0
rank_front/cand10/p16000/seed5/statepoint.120.h5,2026-08-05 00:28:20,16000,120,30,5.9,11.9,11.6
rank_front/cand11/p16000/seed1/statepoint.120.h5,2026-08-05 00:28:40,16000,120,30,5.9,11.2,10.9
rank_front/cand11/p16000/seed2/statepoint.120.h5,2026-08-05 00:29:01,16000,120,30,5.9,11.2,10.9
rank_front/cand11/p16000/seed3/statepoint.120.h5,2026-08-05 00:29:21,16000,120,30,6.0,11.3,11.0
rank_front/cand11/p16000/seed4/statepoint.120.h5,2026-08-05 00:29:42,16000,120,30,6.0,11.3,11.0
rank_front/cand11/p16000/seed5/statepoint.120.h5,2026-08-05 00:30:02,16000,120,30,5.9,11.2,10.9
rank_front/cand12/p16000/seed1/statepoint.120.h5,2026-08-05 00:30:23,16000,120,30,5.9,11.8,11.6
rank_front/cand12/p16000/seed2/statepoint.120.h5,2026-08-05 00:30:44,16000,120,30,5.9,11.8,11.5
rank_front/cand12/p16000/seed3/statepoint.120.h5,2026-08-05 00:31:05,16000,120,30,5.9,11.4,11.1
rank_front/cand12/p16000/seed4/statepoint.120.h5,2026-08-05 00:31:26,16000,120,30,5.9,12.2,11.9
rank_front/cand12/p16000/seed5/statepoint.120.h5,2026-08-05 00:31:47,16000,120,30,6.0,12.0,11.7
rank_front/cand13/p16000/seed1/statepoint.120.h5,2026-08-05 00:32:08,16000,120,30,6.0,11.3,11.1
rank_front/cand13/p16000/seed2/statepoint.120.h5,2026-08-05 00:32:28,16000,120,30,5.9,11.0,10.7
rank_front/cand13/p16000/seed3/statepoint.120.h5,2026-08-05 00:32:49,16000,120,30,5.9,11.2,10.9
rank_front/cand13/p16000/seed4/statepoint.120.h5,2026-08-05 00:33:09,16000,120,30,5.9,11.2,10.9
rank_front/cand13/p16000/seed5/statepoint.120.h5,2026-08-05 00:33:30,16000,120,30,5.9,11.2,10.9
rank_front/cand14/p16000/seed1/statepoint.120.h5,2026-08-05 00:33:50,16000,120,30,5.9,11.5,11.2
rank_front/cand14/p16000/seed2/statepoint.120.h5,2026-08-05 00:34:11,16000,120,30,6.0,11.2,10.9
rank_front/cand14/p16000/seed3/statepoint.120.h5,2026-08-05 00:34:31,16000,120,30,5.9,11.2,10.9
rank_front/cand14/p16000/seed4/statepoint.120.h5,2026-08-05 00:34:52,16000,120,30,5.9,11.7,11.4
rank_front/cand14/p16000/seed5/statepoint.120.h5,2026-08-05 00:35:13,16000,120,30,6.0,11.5,11.2
rank_front/cand15/p16000/seed1/statepoint.120.h5,2026-08-05 00:35:33,16000,120,30,6.0,11.3,11.0
rank_front/cand15/p16000/seed2/statepoint.120.h5,2026-08-05 00:35:54,16000,120,30,5.9,11.3,11.1
rank_front/cand15/p16000/seed3/statepoint.120.h5,2026-08-05 00:36:14,16000,120,30,6.0,11.3,11.0
rank_front/cand15/p16000/seed4/statepoint.120.h5,2026-08-05 00:36:35,16000,120,30,6.0,11.2,11.0
rank_front/cand15/p16000/seed5/statepoint.120.h5,2026-08-05 00:36:55,16000,120,30,6.0,11.1,10.8
rank_front/cand16/p16000/seed1/statepoint.120.h5,2026-08-05 00:37:16,16000,120,30,5.9,11.2,10.9
rank_front/cand16/p16000/seed2/statepoint.120.h5,2026-08-05 00:37:37,16000,120,30,6.0,11.5,11.2
rank_front/cand16/p16000/seed3/statepoint.120.h5,2026-08-05 00:37:57,16000,120,30,5.9,11.1,10.9
rank_front/cand16/p16000/seed4/statepoint.120.h5,2026-08-05 00:38:17,16000,120,30,5.9,11.1,10.8
rank_front/cand16/p16000/seed5/statepoint.120.h5,2026-08-05 00:38:38,16000,120,30,6.0,11.1,10.8
rank_front/cand3/p256000/seed1/statepoint.120.h5,2026-08-05 00:41:49,256000,120,30,5.9,181.7,172.6
rank_front/cand3/p256000/seed2/statepoint.120.h5,2026-08-05 00:45:05,256000,120,30,6.0,186.9,177.8
rank_front/cand3/p256000/seed3/statepoint.120.h5,2026-08-05 00:48:20,256000,120,30,6.0,186.0,177.8
rank_front/cand3/p256000/seed4/statepoint.120.h5,2026-08-05 00:51:36,256000,120,30,6.0,186.0,177.8
rank_front/cand3/p256000/seed5/statepoint.120.h5,2026-08-05 00:54:51,256000,120,30,6.0,185.5,177.2
rank_front/cand3/p256000/seed6/statepoint.120.h5,2026-08-05 00:58:07,256000,120,30,6.1,186.8,178.6
rank_front/cand3/p256000/seed7/statepoint.120.h5,2026-08-05 01:01:23,256000,120,30,6.0,186.6,178.4
rank_front/cand3/p256000/seed8/statepoint.120.h5,2026-08-05 01:04:41,256000,120,30,6.1,188.5,180.3
rank_front/cand6/p256000/seed1/statepoint.120.h5,2026-08-05 01:07:53,256000,120,30,6.1,182.9,174.7
rank_front/cand6/p256000/seed2/statepoint.120.h5,2026-08-05 01:11:06,256000,120,30,6.1,182.8,174.5
rank_front/cand6/p256000/seed3/statepoint.120.h5,2026-08-05 01:14:17,256000,120,30,6.1,181.8,173.4
rank_front/cand6/p256000/seed4/statepoint.120.h5,2026-08-05 01:17:29,256000,120,30,6.0,182.5,174.2
rank_front/cand6/p256000/seed5/statepoint.120.h5,2026-08-05 01:20:42,256000,120,30,6.0,183.9,174.9
rank_front/cand6/p256000/seed6/statepoint.120.h5,2026-08-05 01:23:55,256000,120,30,6.1,183.1,174.8
rank_front/cand6/p256000/seed7/statepoint.120.h5,2026-08-05 01:27:05,256000,120,30,6.1,180.5,171.8
rank_front/cand6/p256000/seed8/statepoint.120.h5,2026-08-05 01:30:17,256000,120,30,6.0,182.1,173.7
rank_front/estimate/statepoint.120.h5,2026-08-11 20:40:46,64000,120,30,6.1,36.5,35.3
